country,code_time,time,year,month,month_name,product,value,display_order,yeartodate,previousyeartodate,share
Netherlands,JUL2019,July 2019,2019,7,July,Coal,1147.535347,8,19408.891209,16163.362797,0.1270934582916857
Lithuania,MAY2021,May 2021,2021,5,May,Distribution losses,51.740764,19,926.358198,479.518418,0.1450992733171685
Portugal,DEC2017,December 2017,2017,12,December,Coal,1138.42,8,14106.765,12122.739,0.23524539875399
Ireland,FEB2021,February 2021,2021,2,February,Distribution losses,198.125577,19,2396.953267,420.410077,0.0725373149780718
Austria,JUL2011,July 2011,2011,7,July,Wind,195.962,2,1838.485,1162.733,0.0378030983331581
Poland,MAY2015,May 2015,2015,5,May,Total exports,775.0,16,14793.0,4923.0,0.0663186265147174
Italy,FEB2011,February 2011,2011,2,February,Wind,804.501,2,9775.001,1839.918,0.0348776807225207
Austria,MAR2013,March 2013,2013,3,March,Total exports,1504.946,16,17689.115,5939.495,0.270903472999135
Iceland,OCT2010,October 2010,2010,10,October,Others,0.167,24,2.004,,0.0001178773327535
Switzerland,MAY2018,May 2018,2018,5,May,Wind,7.105,2,121.8,54.245,0.0009960495667618
Luxembourg,FEB2019,February 2019,2019,2,February,Low carbon,134.866636,26,1617.579315,337.150315,0.8254498024091838
Slovak Republic,JUN2016,June 2016,2016,6,June,Other combustible non-renewables,1.391,12,19.023,11.651,0.0008222464055536
Iceland,APR2021,April 2021,2021,4,April,Nuclear,0.0,6,0.0,0.0,0.0
Croatia,MAR2016,March 2016,2016,3,March,Natural gas,125.65,10,1436.613,299.803,0.0953846434140187
New Zealand,JAN2013,January 2013,2013,1,January,Electricity supplied,3409.783,17,41870.855,3381.675,1.0
Republic of Turkiye,AUG2019,August 2019,2019,8,August,Renewables,11353.956181,22,129383.29281,66842.087097,0.4310130900834245
Cyprus,DEC2020,December 2020,2020,12,December,Others,339.156643,24,4056.458108,4401.851265,0.8978597066662033
Croatia,NOV2016,November 2016,2016,11,November,Total imports,806.397,15,12397.998,11935.098,0.6332097114503493
Poland,OCT2020,October 2020,2020,10,October,Natural gas,1363.775178,10,15841.12301,10793.049514,0.1059584911941451
New Zealand,OCT2018,October 2018,2018,10,October,Wind,176.568383,2,2047.18204,1750.134,0.0487206038918225
Austria,JUL2010,July 2010,2010,7,July,Wind,141.633,2,1961.814,,0.0243407279137879
Mexico,AUG2012,August 2012,2012,8,August,Total exports,50.288,16,1116.001,854.66,0.0018728453182386
Serbia,FEB2018,February 2018,2018,2,February,Hydro,1189.690045,1,11307.245,1592.575,0.3734464453538845
Bulgaria,APR2016,April 2016,2016,4,April,Nuclear,846.887,6,14932.001,5137.0,0.3084802968799629
OECD Europe,JUN2021,June 2021,2021,6,June,Total imports,33208.121176,15,448223.227421,207552.764758,0.1246582314932117
OECD Europe,AUG2020,August 2020,2020,8,August,Fossil fuels,106462.476336,27,1197685.141491,867427.117223,0.3939250481921891
Republic of Turkiye,NOV2017,November 2017,2017,11,November,Total combustible fuels,19154.26,7,199910.045,158567.6,0.8225257872118514
Brazil,APR2019,April 2019,2019,4,April,Low carbon,44541.265566,26,522698.80342,166867.463519,0.8953226945782926
Austria,SEP2014,September 2014,2014,9,September,Geothermal,0.03,4,0.36,0.216,5.187004478978367e-06
Poland,JAN2021,January 2021,2021,1,January,Geothermal,0.0,4,0.0,0.0,0.0
OECD Europe,JUN2020,June 2020,2020,6,June,Others,5824.117524,24,74713.345078,38036.744732,0.0231479503937943
Republic of Turkiye,NOV2020,November 2020,2020,11,November,Hydro,3710.951908,1,88170.288704,83164.259853,0.1544673353587496
Romania,JAN2018,January 2018,2018,1,January,Geothermal,0.0,4,0.0,0.0,0.0
Latvia,NOV2011,November 2011,2011,11,November,Total combustible fuels,290.387,7,2637.0,2167.286,0.7675474650504452
Costa Rica,AUG2021,August 2021,2021,8,August,Oil,0.440157,9,2.859867,,0.0004107968549956
Mexico,JUN2022,June 2022,2022,6,June,Net electricity production,30811.175348,14,334507.469955,169400.425399,1.0
Finland,JUN2011,June 2011,2011,6,June,Other renewables aggregated,655.301,25,10643.641,5402.576,0.1469474862555088
Serbia,SEP2018,September 2018,2018,9,September,Non-renewables,1803.705512,23,23221.034299,18259.314,0.7549749605682706
OECD Europe,FEB2021,February 2021,2021,2,February,Fossil fuels,102190.10044,27,1295185.426309,217891.362845,0.3459118871637033
IEA Total,NOV2010,November 2010,2010,11,November,Other renewables,41.269,5,500.008,,4.988968382570937e-05
Poland,DEC2018,December 2018,2018,12,December,Oil,0.0,9,0.0,1818.541,0.0
IEA Total,OCT2014,October 2014,2014,10,October,Distribution losses,52775.675,19,695962.055,562334.664,0.0651651381833128
Austria,SEP2019,September 2019,2019,9,September,Electricity trade,-515.829541,21,-3128.582998,-5837.16517,-0.0998887283153888
North Macedonia,MAY2017,May 2017,2017,5,May,Final consumption,478.496,20,6205.253,2724.304,1.4164522975729177
Brazil,SEP2022,September 2022,2022,9,September,Combustible renewables,6158.86447,11,52527.384791,41399.87063,0.1164536082276208
Slovak Republic,JUL2015,July 2015,2015,7,July,Distribution losses,116.937,19,1363.001,390.77,0.062954072065796
Korea,MAY2012,May 2012,2012,5,May,Fossil fuels,27238.461,27,360219.346,144490.8,0.6837337577073122
Portugal,JAN2022,January 2022,2022,1,January,Electricity trade,-771.715373,21,-9252.614206,-283.376554,-0.1729404625810328
France,APR2016,April 2016,2016,4,April,Renewables,9620.741,22,102600.669,37919.125,0.2197836367054357
Serbia,JUN2021,June 2021,2021,6,June,Not specified,0.0,13,0.0,0.0,0.0
Greece,AUG2012,August 2012,2012,8,August,Wind,241.514,2,3160.999,1955.305,0.0474509976509679
Chile,JUN2019,June 2019,2019,6,June,Electricity supplied,6979.27611,17,82100.176962,39867.155321,1.0
Canada,MAR2020,March 2020,2020,3,March,Wind,3334.199382,2,35741.369233,10230.781071,0.0589390614140111
Netherlands,NOV2022,November 2022,2022,11,November,Electricity trade,-282.166691,21,4266.401664,-777.707,-0.0314233790613633
Mexico,OCT2020,October 2020,2020,10,October,Final consumption,26837.241446,20,306026.382488,251014.827115,0.9119617377009186
Norway,AUG2010,August 2010,2010,8,August,Used for pumped storage,37.09,18,590.0,,0.0047822207116702
Italy,JAN2016,January 2016,2016,1,January,Renewables,7452.132,22,107598.961,8226.403,0.3218330581476218
Ireland,APR2012,April 2012,2012,4,April,Renewables,418.278,22,5440.341,1461.841,0.2006800354842842
Italy,JUL2015,July 2015,2015,7,July,Total exports,277.124,16,4471.002,1252.131,0.0099432708561778
Australia,FEB2022,February 2022,2022,2,February,Total combustible fuels,13697.774738,7,174108.47098,29778.666383,0.6608386663713427
OECD Total,APR2011,April 2011,2011,4,April,Total imports,34294.828,15,429777.672,138257.652,0.0437444754704318
Switzerland,MAY2022,May 2022,2022,5,May,Nuclear,1660.035965,6,23338.449675,9767.575137,0.2790485490115935
Malta,SEP2021,September 2021,2021,9,September,Electricity trade,0.0,21,0.0,-213.413993,0.0
Luxembourg,MAY2018,May 2018,2018,5,May,Coal,0.0,8,0.0,,0.0
Switzerland,DEC2018,December 2018,2018,12,December,Wind,18.27,2,121.8,132.599,0.0033985819801934
Sweden,JUL2010,July 2010,2010,7,July,Solar,1.108,3,8.6,,0.0001044786252574
New Zealand,JUL2012,July 2012,2012,7,July,Wind,160.432,2,2058.403,1134.503,0.0406171152308612
Italy,JAN2020,January 2020,2020,1,January,Nuclear,0.0,6,0.0,0.0,0.0
Spain,JUN2010,June 2010,2010,6,June,Wind,2578.966,2,43191.999,,0.1134658706088371
Norway,JUL2017,July 2017,2017,7,July,Coal,16.628,8,186.001,95.783,0.001574290998621
Serbia,SEP2022,September 2022,2022,9,September,Coal,1752.166286,8,21380.265068,16086.682929,0.7165556857236642
OECD Total,APR2010,April 2010,2010,4,April,Wind,22264.271,2,266334.127,,0.0287620363826805
Croatia,JUN2016,June 2016,2016,6,June,Others,4.367,24,62.5,90.327,0.0047205401326983
OECD Europe,MAR2019,March 2019,2019,3,March,Electricity trade,-2463.657787,21,-14930.860685,-6864.435417,-0.0080720280587207
Malta,FEB2021,February 2021,2021,2,February,Other renewables,0.0,5,0.0,0.0,0.0
Australia,JAN2020,January 2020,2020,1,January,Wind,1639.964104,2,22834.136063,1375.129382,0.0725468113123751
Luxembourg,OCT2016,October 2016,2016,10,October,Electricity trade,-546.351,21,-6298.701,-4580.303,-3.362905012802836
Hungary,DEC2014,December 2014,2014,12,December,Not specified,4.083,13,48.996,29.004,0.0015526450485339
Republic of Turkiye,OCT2013,October 2013,2013,10,October,Used for pumped storage,0.0,18,0.0,0.0,0.0
Argentina,MAR2022,March 2022,2022,3,March,Non-renewables,8768.404503,23,96813.168722,26836.91016,0.7449258862059045
Belgium,MAR2015,March 2015,2015,3,March,Combustible renewables,499.838,11,5396.208,1226.932,0.0846694694568539
Czech Republic,DEC2022,December 2022,2022,12,December,Solar,32.872117,3,2453.513182,2184.197832,0.0041844045011082
Mexico,FEB2021,February 2021,2021,2,February,Non-renewables,18747.184183,23,272626.053432,42854.098425,0.7861801261177835
Latvia,MAR2021,March 2021,2021,3,March,Renewables,486.011,22,3578.737605,1526.380619,0.6981654913101165
Lithuania,AUG2020,August 2020,2020,8,August,Hydro,73.694973,1,928.133561,628.464965,0.1635272783171523
France,APR2018,April 2018,2018,4,April,Low carbon,42004.85065,26,511318.16204,174996.931,0.9552698140008626
OECD Asia Oceania,MAR2013,March 2013,2013,3,March,Oil,12978.451,9,173661.032,67425.199,0.0850273367015121
IEA Total,NOV2012,November 2012,2012,11,November,Non-renewables,654701.96,23,8146150.534,7548957.652,0.7940261864298118
Germany,SEP2017,September 2017,2017,9,September,Net electricity production,49394.671,14,619053.007,450451.714,1.0
Republic of Turkiye,MAY2013,May 2013,2013,5,May,Solar,0.0,3,0.0,0.0,0.0
Ireland,JUN2012,June 2012,2012,6,June,Solar,0.07,3,0.645,0.29,3.545458090912637e-05
France,NOV2015,November 2015,2015,11,November,Net electricity production,48600.692,14,555126.785,492602.644,1.0
France,FEB2013,February 2013,2013,2,February,Final consumption,46614.767,20,463432.933,99568.637,0.8774648433477893
Sweden,MAY2015,May 2015,2015,5,May,Used for pumped storage,9.564,18,182.0,89.008,0.0007745158688697
Belgium,DEC2022,December 2022,2022,12,December,Oil,14.593396,9,212.297391,115.236516,0.0018565844867037
Estonia,AUG2021,August 2021,2021,8,August,Oil,1.580593,9,24.315584,9.950167,0.0035910541415038
OECD Europe,NOV2015,November 2015,2015,11,November,Total exports,36709.464,16,424181.022,363757.645,0.1240689223978859
Bulgaria,OCT2020,October 2020,2020,10,October,Total exports,433.925811,16,7114.842,7287.675822,0.1601348787481058
Colombia,MAY2020,May 2020,2020,5,May,Geothermal,0.0,4,0.0,0.0,0.0
OECD Asia Oceania,SEP2015,September 2015,2015,9,September,Fossil fuels,109661.90539,27,1448859.533386,1126734.63,0.7655175180760083
Portugal,JAN2014,January 2014,2014,1,January,Distribution losses,544.935,19,5208.997,517.779,0.0958538190341953
Croatia,FEB2015,February 2015,2015,2,February,Final consumption,994.979,20,15734.001,,0.8310772659236095
Switzerland,DEC2010,December 2010,2010,12,December,Total exports,3261.231,16,32881.0,,0.5535663545119845
Germany,JAN2022,January 2022,2022,1,January,Not specified,106.694849,13,1001.83833,158.552186,0.0020197458012473
Portugal,OCT2015,October 2015,2015,10,October,Low carbon,2308.859,26,25172.425,26351.129,0.4873199375837796
Romania,JUL2020,July 2020,2020,7,July,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
Brazil,DEC2016,December 2016,2016,12,December,Renewables,39825.293,22,457470.239,423216.131,0.8386322180775598
Poland,SEP2018,September 2018,2018,9,September,Net electricity production,12353.184898,14,155259.671,114573.52,1.0
Sweden,JAN2016,January 2016,2016,1,January,Coal,217.83,8,1014.302,212.27,0.0131137833671377
Luxembourg,NOV2021,November 2021,2021,11,November,Coal,0.0,8,0.0,0.0,0.0
Cyprus,MAY2020,May 2020,2020,5,May,Oil,256.829662,9,4056.458108,1625.153155,0.8078611272721469
Republic of Turkiye,NOV2016,November 2016,2016,11,November,Geothermal,362.939,4,4010.001,2592.068,0.0168043232243202
Norway,JUL2019,July 2019,2019,7,July,Geothermal,0.0,4,0.0,0.0,0.0
IEA Total,NOV2017,November 2017,2017,11,November,Hydro,108540.312261,1,1410677.272373,1303339.789194,0.1282554500943232
Portugal,JAN2011,January 2011,2011,1,January,Coal,238.265,8,9487.36,425.409,0.0471168572809995
Slovenia,FEB2020,February 2020,2020,2,February,Coal,292.258103,8,3927.075789,763.029987,0.2634726943960986
Austria,JAN2010,January 2010,2010,1,January,Used for pumped storage,346.446,18,4623.332,,0.0587050742984878
Denmark,JUL2022,July 2022,2022,7,July,Electricity trade,-49.539721,21,-1464.012782,-4090.079638,-0.0194530225870109
Mexico,JAN2013,January 2013,2013,1,January,Combustible renewables,92.277,11,1135.882,68.94,0.0041438434643226
Ireland,NOV2017,November 2017,2017,11,November,Electricity trade,-30.699,21,678.502,669.592,-0.0118600163418577
Denmark,MAR2019,March 2019,2019,3,March,Renewables,2538.768224,22,22679.318561,6192.092947,0.781481947814094
Hungary,NOV2014,November 2014,2014,11,November,Total exports,505.0,16,5689.0,4026.308,0.203863392956984
United States,FEB2017,February 2017,2017,2,February,Other combustible non-renewables,703.661,12,9111.416,1524.672,0.002389825989357
Brazil,JAN2017,January 2017,2017,1,January,Others,1160.421,24,16988.151,2209.717,0.0239243706683864
Denmark,JUN2014,June 2014,2014,6,June,Other renewables aggregated,174.702,25,3976.721,2281.858,0.1019869420846896
India,JAN2021,January 2021,2021,1,January,Natural gas,4187.802499,10,53065.523512,4520.154102,0.0319178344482474
Korea,AUG2011,August 2011,2011,8,August,Total combustible fuels,27712.084,7,345407.999,218739.745,0.650614865809682
OECD Europe,JUN2012,June 2012,2012,6,June,Others,6618.938,24,89966.778,46506.126,0.0249694604115456
OECD Asia Oceania,OCT2020,October 2020,2020,10,October,Non-renewables,114331.33889,23,1484943.559982,1292784.644325,0.8108724393426167
Iceland,NOV2021,November 2021,2021,11,November,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
Belgium,DEC2014,December 2014,2014,12,December,Low carbon,3527.626,26,45564.89,53704.995,0.6018395586314956
Republic of Turkiye,NOV2015,November 2015,2015,11,November,Low carbon,5933.702,26,82201.609,47958.689,0.2929346286558562
Italy,MAR2018,March 2018,2018,3,March,Solar,1642.15207,3,22265.363999,4448.886,0.0699177882195848
Canada,APR2010,April 2010,2010,4,April,Fossil fuels,9815.71,27,133304.866,,0.2147777778604394
Cyprus,JUN2019,June 2019,2019,6,June,Nuclear,0.0,6,0.0,0.0,0.0
India,JUL2020,July 2020,2020,7,July,Total combustible fuels,99234.22268,7,1167108.841222,736040.768041,0.7371069078800392
Finland,APR2017,April 2017,2017,4,April,Fossil fuels,1209.242,27,12795.204,6450.274,0.2287019703772014
New Zealand,JUN2021,June 2021,2021,6,June,Combustible renewables,43.867224,11,743.782104,321.141917,0.0116633707436638
Sweden,MAR2011,March 2011,2011,3,March,Electricity supplied,13734.425,17,139731.998,44498.766,1.0224931861953546
North Macedonia,AUG2021,August 2021,2021,8,August,Fossil fuels,350.037791,27,3599.28381,2215.367284,0.7114670141188557
Italy,OCT2018,October 2018,2018,10,October,Total exports,112.195702,16,3271.415,4516.203,0.0048765364263685
Poland,FEB2013,February 2013,2013,2,February,Solar,0.031,3,1.0,0.048,2.459492749455044e-06
New Zealand,OCT2013,October 2013,2013,10,October,Final consumption,3245.116,20,38975.704,33440.848,0.9307580889881916
Serbia,NOV2015,November 2015,2015,11,November,Other combustible non-renewables,0.355,12,3.626,,0.0001166629915085
Austria,AUG2016,August 2016,2016,8,August,Final consumption,4857.339,20,64527.289,42250.8,0.8642712052832697
Germany,DEC2022,December 2022,2022,12,December,Natural gas,8508.241044,10,79786.794457,84869.769162,0.1795295432201552
Switzerland,FEB2013,February 2013,2013,2,February,Total exports,2965.373,16,32270.0,5561.0,0.5339352869005508
Netherlands,MAY2019,May 2019,2019,5,May,Total combustible fuels,7576.618602,7,96357.694002,40584.336576,0.8078517153920562
Switzerland,JAN2019,January 2019,2019,1,January,Other combustible non-renewables,111.155121,12,1195.535083,109.619084,0.0191222914852964
Norway,SEP2022,September 2022,2022,9,September,Solar,12.704641,3,174.527002,23.8689,0.0014822051621624
OECD Asia Oceania,OCT2016,October 2016,2016,10,October,Other renewables,41.333,5,495.996,413.33,0.0002867741819035
Greece,JUN2022,June 2022,2022,6,June,Others,242.73953,24,2490.67856,2055.571578,0.0551710682310736
Canada,JUN2014,June 2014,2014,6,June,Coal,4523.611,8,61620.382,30205.179,0.0961226741290115
Austria,FEB2019,February 2019,2019,2,February,Other combustible non-renewables,62.324068,12,754.85042,119.142151,0.0112247623967728
Serbia,JUN2016,June 2016,2016,6,June,Electricity trade,45.703,21,1922.002,971.933,0.0182026374169086
Czech Republic,OCT2020,October 2020,2020,10,October,Final consumption,5110.391131,20,59060.001745,50389.844963,0.786508290415686
Spain,JAN2010,January 2010,2010,1,January,Total combustible fuels,12043.896,7,136384.0,,0.455981123944872
Korea,SEP2022,September 2022,2022,9,September,Net electricity production,43863.731985,14,565372.131666,407325.750421,1.0
Luxembourg,DEC2017,December 2017,2017,12,December,Other combustible non-renewables,7.126,12,73.992,66.771,0.0341146282147029
France,OCT2017,October 2017,2017,10,October,Non-renewables,33530.102,23,441217.778,354514.009,0.8454131145388325
Cyprus,NOV2016,November 2016,2016,11,November,Solar,9.145,3,145.938,120.279,0.028970953016052
Japan,NOV2019,November 2019,2019,11,November,Other renewables aggregated,2639.698401,25,25586.399887,24351.133618,0.0339451625779115
Chile,JUN2022,June 2022,2022,6,June,Final consumption,6752.662893,20,79783.774431,40700.177706,0.9483170902679812
Finland,DEC2019,December 2019,2019,12,December,Natural gas,388.223596,10,3639.011535,3952.041348,0.0608396682536926
Denmark,OCT2016,October 2016,2016,10,October,Final consumption,2728.983,20,32265.482,26276.879,0.961528406312232
Mexico,SEP2016,September 2016,2016,9,September,Electricity supplied,26495.485,17,303139.99,226635.028,1.0044482272050248
Serbia,NOV2020,November 2020,2020,11,November,Non-renewables,2241.715695,23,24438.631315,21141.894931,0.7183505750460077
Slovak Republic,OCT2018,October 2018,2018,10,October,Other renewables,0.0,5,0.0,,0.0
Sweden,AUG2010,August 2010,2010,8,August,Low carbon,10566.272,26,137129.034,,0.9749400896929176
Luxembourg,NOV2019,November 2019,2019,11,November,Net electricity production,177.566589,14,1877.127204,1971.455822,1.0
Argentina,MAY2018,May 2018,2018,5,May,Total exports,0.0,16,0.0,4.026,0.0
Luxembourg,APR2012,April 2012,2012,4,April,Other renewables aggregated,9.712,25,93.364,37.278,0.0266537130499455
Australia,OCT2020,October 2020,2020,10,October,Other renewables,0.0,5,0.0,0.0,0.0
Austria,JAN2012,January 2012,2012,1,January,Fossil fuels,2080.241,27,16594.215,2666.547,0.3421681439874123
Denmark,FEB2016,February 2016,2016,2,February,Natural gas,159.041,10,2061.504,546.58,0.0569931568506031
Chile,JAN2018,January 2018,2018,1,January,Coal,2783.821214,8,28753.186807,2308.995,0.396042702727619
Switzerland,NOV2021,November 2021,2021,11,November,Low carbon,4333.042053,26,62350.768005,63103.910371,0.9685312779881352
Portugal,SEP2020,September 2020,2020,9,September,Used for pumped storage,137.950082,18,1987.354493,1202.343579,0.0297146685639222
Poland,APR2020,April 2020,2020,4,April,Non-renewables,8361.705477,23,116598.406489,42237.128811,0.7764762050739815
Latvia,FEB2010,February 2010,2010,2,February,Electricity supplied,588.342,17,6941.701,,1.1975281754213845
Republic of Turkiye,JUL2022,July 2022,2022,7,July,Net electricity production,28119.739341,14,312685.959248,180748.870901,1.0
Norway,SEP2016,September 2016,2016,9,September,Fossil fuels,213.709,27,3276.005,2481.538,0.0204361993330066
Czech Republic,AUG2014,August 2014,2014,8,August,Total imports,729.027,15,11841.999,6086.8,0.1299012288308039
New Zealand,MAY2014,May 2014,2014,5,May,Renewables,2892.039,22,33738.59,11713.653,0.8050605109504292
Belgium,AUG2013,August 2013,2013,8,August,Total imports,1472.42,15,17243.001,9788.305,0.2278994760890665
United Kingdom,JUL2015,July 2015,2015,7,July,Renewables,6582.119,22,85948.178,35986.859,0.267890952038822
New Zealand,APR2010,April 2010,2010,4,April,Not specified,4.763,13,57.156,,0.0013920949582371
Denmark,OCT2014,October 2014,2014,10,October,Fossil fuels,1069.402,27,13149.011,14357.736,0.4151468131699199
Switzerland,MAY2011,May 2011,2011,5,May,Other combustible non-renewables,80.338,12,1082.722,466.299,0.014686601259635
Brazil,FEB2020,February 2020,2020,2,February,Other renewables aggregated,1291.830172,25,55217.212101,2599.75124,0.0262251516818849
Bulgaria,MAY2018,May 2018,2018,5,May,Total imports,144.291872,15,2222.726001,1920.965,0.0508918056713828
Korea,MAY2018,May 2018,2018,5,May,Natural gas,11828.285574,10,149545.2147,47601.117,0.2683647334204299
Germany,DEC2016,December 2016,2016,12,December,Net electricity production,55569.775,14,614332.0,610292.0,1.0
Belgium,OCT2021,October 2021,2021,10,October,Other combustible non-renewables,110.059473,12,1134.353337,972.598214,0.0139340040529993
Bulgaria,OCT2015,October 2015,2015,10,October,Net electricity production,3267.191,14,44727.001,,1.0
Germany,APR2019,April 2019,2019,4,April,Solar,5377.21626,3,43513.000001,11081.187252,0.1138147502708126
Netherlands,JUL2018,July 2018,2018,7,July,Oil,26.425407,9,1246.798759,553.254,0.0032259080783106
Australia,MAR2021,March 2021,2021,3,March,Oil,341.740603,9,4071.131205,1076.913174,0.0159724288224677
Estonia,JAN2021,January 2021,2021,1,January,Total imports,519.0,15,7333.0,662.83637,0.8917566683682208
North Macedonia,FEB2018,February 2018,2018,2,February,Low carbon,205.043259,26,1944.176044,288.388,0.3639406688942485
Czech Republic,MAR2019,March 2019,2019,3,March,Solar,193.987343,3,2291.185001,316.823022,0.0280039145582711
Czech Republic,DEC2012,December 2012,2012,12,December,Others,17.33,24,229.575,293.8,0.0024833416923407
Hungary,DEC2022,December 2022,2022,12,December,Geothermal,0.997063,4,2.358957,5.540375,0.000356036413559
Estonia,OCT2021,October 2021,2021,10,October,Other combustible non-renewables,7.502225,12,83.943921,30.867221,0.0123694114275856
United Kingdom,FEB2011,February 2011,2011,2,February,Renewables,3194.08,22,37582.456,4622.699,0.1025302509629866
OECD Americas,FEB2014,February 2014,2014,2,February,Electricity supplied,415919.287,17,5199473.037,836997.598,1.000955626431351
Canada,FEB2016,February 2016,2016,2,February,Others,637.988,24,7692.211,1417.337,0.0110565942595162
Germany,DEC2019,December 2019,2019,12,December,Solar,976.001581,3,43513.000001,45784.000002,0.0195568576911195
Colombia,MAY2014,May 2014,2014,5,May,Solar,0.67,3,8.947,,0.0001168791657828
New Zealand,JUL2014,July 2014,2014,7,July,Renewables,3157.523,22,33738.59,17313.145,0.8109439524311319
Serbia,MAR2020,March 2020,2020,3,March,Final consumption,2676.442474,20,29248.614172,8320.12221,0.7740211982139805
Japan,NOV2019,November 2019,2019,11,November,Not specified,1588.653417,13,19063.841004,17461.665837,0.0204292651386198
France,JUN2022,June 2022,2022,6,June,Combustible renewables,754.510322,11,9365.601452,5198.161757,0.0232233906253999
Finland,SEP2012,September 2012,2012,9,September,Not specified,24.833,13,297.996,209.997,0.0052975077629085
Germany,SEP2010,September 2010,2010,9,September,Nuclear,11360.589,6,132971.002,,0.2485537209746257
Hungary,FEB2014,February 2014,2014,2,February,Hydro,23.599,1,294.001,43.682,0.0101671446001557
Slovenia,MAR2020,March 2020,2020,3,March,Combustible renewables,24.034975,11,246.661792,68.73145,0.019990605146048
India,JAN2015,January 2015,2015,1,January,Net electricity production,81760.088415,14,1203381.569426,,1.0
Italy,JUL2015,July 2015,2015,7,July,Other combustible non-renewables,238.38,12,2313.091,1322.942,0.0085531275050001
OECD Asia Oceania,JAN2016,January 2016,2016,1,January,Renewables,18897.583402,22,255200.467866,16968.348725,0.1094522262161254
OECD Americas,AUG2018,August 2018,2018,8,August,Nuclear,81913.393656,6,915431.477002,601811.977,0.1592251766955071
Croatia,JUL2022,July 2022,2022,7,July,Total imports,1183.966434,15,12087.05799,6536.000919,1.0369436856501435
Ireland,MAY2020,May 2020,2020,5,May,Oil,18.863128,9,378.041175,133.660336,0.0078744661927847
Belgium,APR2014,April 2014,2014,4,April,Natural gas,1335.679,10,18686.05,8983.75,0.2542282261911152
Canada,JAN2022,January 2022,2022,1,January,Electricity supplied,61115.941027,17,587088.357046,56869.83662,0.945135611716369
Canada,JAN2022,January 2022,2022,1,January,Wind,3850.962123,2,38011.679768,2913.083082,0.0595537167661416
Denmark,DEC2013,December 2013,2013,12,December,Coal,1146.703,8,13299.131,9760.472,0.3247337314971355
Costa Rica,NOV2022,November 2022,2022,11,November,Wind,74.703524,2,1369.26046,1388.793638,0.0744589688777667
Australia,FEB2020,February 2020,2020,2,February,Others,363.974188,24,3986.266124,857.292946,0.0173882587091886
Ireland,JUN2020,June 2020,2020,6,June,Total imports,103.673112,15,1761.112001,1017.700629,0.0419155093019452
Japan,SEP2011,September 2011,2011,9,September,Others,13490.309,24,155001.763,94112.111,0.1541935689610083
Slovenia,JUN2017,June 2017,2017,6,June,Total combustible fuels,299.281,7,5054.643,2215.496,0.2562675215739061
Greece,JUN2014,June 2014,2014,6,June,Combustible renewables,16.307,11,198.449,89.176,0.0042141981807647
OECD Europe,OCT2020,October 2020,2020,10,October,Fossil fuels,104620.400615,27,1197685.141491,1089224.555202,0.3608160125695008
Canada,MAY2012,May 2012,2012,5,May,Wind,817.749,2,11198.0,4222.976,0.0172457007854706
Cyprus,APR2019,April 2019,2019,4,April,Hydro,0.0,1,0.0,0.0,0.0
OECD Total,JAN2010,January 2010,2010,1,January,Total exports,33392.773,16,376652.705,,0.0350804394439797
OECD Americas,SEP2014,September 2014,2014,9,September,Renewables,79028.604,22,1114449.25,772215.399,0.1855048847211957
Sweden,FEB2018,February 2018,2018,2,February,Net electricity production,15380.837287,14,159677.000001,31068.537,1.0
Canada,APR2013,April 2013,2013,4,April,Coal,4783.191,8,60924.819,21199.191,0.094701966221793
Australia,JAN2016,January 2016,2016,1,January,Renewables,3735.835402,22,43979.519863,2834.176725,0.1716671202760452
Netherlands,JUL2016,July 2016,2016,7,July,Other renewables aggregated,392.663,25,4712.447,2737.822,0.047483712591867
Estonia,JUL2012,July 2012,2012,7,July,Non-renewables,601.093,23,9175.441,6240.752,0.8760960437484695
Luxembourg,OCT2018,October 2018,2018,10,October,Distribution losses,13.365114,19,155.299998,130.202,0.0712764576193904
Netherlands,SEP2010,September 2010,2010,9,September,Natural gas,5333.042,10,72463.85,,0.6049074588483552
Romania,MAY2018,May 2018,2018,5,May,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
OECD Asia Oceania,OCT2022,October 2022,2022,10,October,Wind,3807.989901,2,47121.735748,34372.30319,0.0265101234195841
United States,FEB2016,February 2016,2016,2,February,Geothermal,1247.879,4,15826.001,2622.084,0.0039431892488252
Switzerland,OCT2012,October 2012,2012,10,October,Oil,3.463,9,48.485,39.933,0.0006552250460577
Lithuania,MAY2014,May 2014,2014,5,May,Non-renewables,74.421,23,2002.063,1029.081,0.333057355626365
Ireland,MAY2018,May 2018,2018,5,May,Hydro,51.693176,1,921.978,377.842,0.0213766811710233
Malta,JAN2019,January 2019,2019,1,January,Others,0.0,24,29.200038,1.052985,0.0
IEA Total,JAN2013,January 2013,2013,1,January,Fossil fuels,563059.246,27,6143700.217,553130.524,0.5975950865497648
Luxembourg,AUG2019,August 2019,2019,8,August,Others,6.174376,24,74.963632,48.75284,0.0479259759993659
Republic of Turkiye,OCT2011,October 2011,2011,10,October,Combustible renewables,26.147,11,321.929,255.869,0.0014704524373
Netherlands,MAY2014,May 2014,2014,5,May,Final consumption,8185.947,20,108507.696,45939.622,1.170253217216472
